id_syndrome,nom_syndrome,description_synd,categorie_synd,organe_associe,id_syndrome_formule,id_formule,id_x,nom_link,nom_alternatif,description_form,indications,posologie,contre_indications,pharmacologie,toxicologie,composition,etudes_cliniques,remarques,categorie_form,date_creation,statut,id_y,plante_id,formule_id,role_formule,pourcentage_formule,id,nom_plant,nom_chinois,nom_latin,partie_utilisee,description,score_role
1,"abcès chroniques, abcès",,Stases de Sang,Foie,1,1,1,Dang Gui,Angélique,Tonifie et harmonise le Sang,"abcès chroniques, allergie cutanée, anémie, douleurs localisées, épuisement post-maladie, vide de Sang du Foie",2 gélules matin et soir avant les repas. Ne pas utiliser pendant plus de six semaines sans avis médical.,Déconseillé pendant la grossesse,,,,,,Sang,,Validée,58,11,1,Empereur,100.0,11,,当归,Angelica sinensis,Racine,"Tonifie et harmonise le Sang. Utilisée pour les troubles menstruels, l'anémie, les douleurs localisées et les problèmes de circulation.",10
2,absence de spermatozoïdes,,Vide de Yang,Rein,2,5,5,Dong Chong Xia Cao,Cordyceps,"Nourrit le Poumon et le Rein, consolide le Jing","asthénies sexuelles, impuissance, problèmes de fécondité, vide de Poumon et de Rein",2 gélules matin et soir avant les repas,,"Nourrit le Qi, Protège le Rein",,,,,Rein,,Validée,67,16,5,Empereur,100.0,16,,冬虫夏草,Cordyceps sinensis,Champignon,"Tonifie les Reins et les Poumons, améliore l'énergie et la libido. Utilisé en cas de fatigue chronique.",10
3,absence de transpiration,,Vent Froid,Poumon,4,8,8,Gui Zhi Tang,Décoction de tiges de cannelle,Élimine le Vent et le Froid. Harmonise Rong Qi et Wei Qi.,"crainte du froid, douleurs articulaires, absence de transpiration",2 gélules matin et soir avant les repas,,,,,,,Vent-Froid,,Validée,97,12,8,Empereur,12.6,12,,黄芪,Astragalus membranaceus,Racine,"Stimule les défenses immunitaires, tonifie le Qi. Indiquée en cas de fatigue, convalescence et faiblesse générale.",10
3,absence de transpiration,,Vent Froid,Poumon,4,8,8,Gui Zhi Tang,Décoction de tiges de cannelle,Élimine le Vent et le Froid. Harmonise Rong Qi et Wei Qi.,"crainte du froid, douleurs articulaires, absence de transpiration",2 gélules matin et soir avant les repas,,,,,,,Vent-Froid,,Validée,98,22,8,Empereur,9.4,22,,人参,Panax ginseng,Racine,"Tonifiant général, améliore l'énergie, réduit le stress et renforce l'immunité.",10
3,absence de transpiration,,Vent Froid,Poumon,4,8,8,Gui Zhi Tang,Décoction de tiges de cannelle,Élimine le Vent et le Froid. Harmonise Rong Qi et Wei Qi.,"crainte du froid, douleurs articulaires, absence de transpiration",2 gélules matin et soir avant les repas,,,,,,,Vent-Froid,,Validée,99,11,8,Ministre,10.5,11,,当归,Angelica sinensis,Racine,"Tonifie et harmonise le Sang. Utilisée pour les troubles menstruels, l'anémie, les douleurs localisées et les problèmes de circulation.",7
3,absence de transpiration,,Vent Froid,Poumon,4,8,8,Gui Zhi Tang,Décoction de tiges de cannelle,Élimine le Vent et le Froid. Harmonise Rong Qi et Wei Qi.,"crainte du froid, douleurs articulaires, absence de transpiration",2 gélules matin et soir avant les repas,,,,,,,Vent-Froid,,Validée,100,44,8,Ministre,10.5,44,,白术,Atractylodes macrocephala,Rhizome,"Tonifie la Rate, élimine l'humidité. Utile en cas de fatigue et de troubles digestifs.",7
3,absence de transpiration,,Vent Froid,Poumon,4,8,8,Gui Zhi Tang,Décoction de tiges de cannelle,Élimine le Vent et le Froid. Harmonise Rong Qi et Wei Qi.,"crainte du froid, douleurs articulaires, absence de transpiration",2 gélules matin et soir avant les repas,,,,,,,Vent-Froid,,Validée,101,18,8,Ministre,5.3,18,,甘草,Glycyrrhiza uralensis,Racine,"Anti-inflammatoire, harmonise les formules. Traite les troubles digestifs et les inflammations.",7
3,absence de transpiration,,Vent Froid,Poumon,4,8,8,Gui Zhi Tang,Décoction de tiges de cannelle,Élimine le Vent et le Froid. Harmonise Rong Qi et Wei Qi.,"crainte du froid, douleurs articulaires, absence de transpiration",2 gélules matin et soir avant les repas,,,,,,,Vent-Froid,,Validée,102,41,8,Conseiller,10.5,41,,龙眼肉,Dimocarpus longan,Fruit,"Nourrit le Sang, calme l'Esprit. Utilisée pour l'insomnie et la fatigue mentale.",4
3,absence de transpiration,,Vent Froid,Poumon,4,8,8,Gui Zhi Tang,Décoction de tiges de cannelle,Élimine le Vent et le Froid. Harmonise Rong Qi et Wei Qi.,"crainte du froid, douleurs articulaires, absence de transpiration",2 gélules matin et soir avant les repas,,,,,,,Vent-Froid,,Validée,103,40,8,Conseiller,10.5,40,,酸枣仁,Ziziphus jujuba,Fruit,"Calme l'Esprit, favorise le sommeil. Utilisé pour l'insomnie et l'agitation nerveuse.",4
3,absence de transpiration,,Vent Froid,Poumon,4,8,8,Gui Zhi Tang,Décoction de tiges de cannelle,Élimine le Vent et le Froid. Harmonise Rong Qi et Wei Qi.,"crainte du froid, douleurs articulaires, absence de transpiration",2 gélules matin et soir avant les repas,,,,,,,Vent-Froid,,Validée,104,17,8,Conseiller,10.5,17,,茯苓,Poria cocos,Sclérote,"Diurétique, élimine l'humidité, renforce la Rate. Utilisé pour les œdèmes et les troubles digestifs.",4
