nom_syndrome,nom_latin,nom_chinois,score_role
"abcès chroniques, abcès",Angelica sinensis,当归,10
absence de spermatozoïdes,Cordyceps sinensis,冬虫夏草,10
absence de transpiration,Astragalus membranaceus,黄芪,20
absence de transpiration,Atractylodes macrocephala,白术,14
absence de transpiration,Ziziphus jujuba,酸枣仁,11
absence de transpiration,Panax ginseng,人参,10
absence de transpiration,Glycyrrhiza uralensis,甘草,9
absence de transpiration,Angelica sinensis,当归,7
absence de transpiration,Dimocarpus longan,龙眼肉,4
absence de transpiration,Polygala tenuifolia,远志,4
absence de transpiration,Poria cocos,茯苓,4
absence de transpiration,Aucklandia lappa,木香,2
accumulation d’humidité Bas du Corps à partir des hanches,Paeonia suffruticosa,牡丹皮,10
accumulation d’humidité Bas du Corps à partir des hanches,Atractylodes macrocephala,白术,7
accumulation d’humidité Bas du Corps à partir des hanches,Coix lacryma-jobi,薏苡仁,4
accumulation d’humidité Bas du Corps à partir des hanches,Achyranthes bidentata,牛膝,2
acidités,Illicium verum,八角茴香,10
acidités,Angelica sinensis,当归,7
acidités,Carthamus tinctorius,红花,7
acidités,Salvia miltiorrhiza,丹参,7
affaiblissement des lombes et des genoux,Cordyceps sinensis,冬虫夏草,10
affaiblissement des lombes et des genoux,Eucommia ulmoides,杜仲,10
affaiblissement des lombes et des genoux,Achyranthes bidentata,牛膝,7
affaiblissement des lombes et des genoux,Atractylodes macrocephala,白术,7
affaiblissement des lombes et des genoux,Angelica sinensis,当归,4
affaiblissement des lombes et des genoux,Cinnamomum cassia,肉桂,4
affaiblissement des lombes et des genoux,Ligusticum wallichii,川芎,4
affaiblissement des lombes et des genoux,Paeonia lactiflora,白芍,4
affaiblissement des lombes et des genoux,Panax ginseng,人参,4
affaiblissement des lombes et des genoux,Poria cocos,茯苓,4
affaiblissement des lombes et des genoux,Glycyrrhiza uralensis,甘草,2
allaitement,Angelica sinensis,当归,20
allaitement,Paeonia lactiflora,白芍,11
allaitement,Panax ginseng,人参,10
allaitement,Ligusticum wallichii,川芎,8
allaitement,Atractylodes macrocephala,白术,7
allaitement,Poria cocos,茯苓,7
allaitement,Glycyrrhiza uralensis,甘草,2
allergie cutanée,Angelica sinensis,当归,10
amnésies,Astragalus membranaceus,黄芪,10
amnésies,Forsythia suspensa,连翘,10
amnésies,Panax ginseng,人参,10
amnésies,Angelica sinensis,当归,7
amnésies,Atractylodes macrocephala,白术,7
amnésies,Glycyrrhiza uralensis,甘草,7
amnésies,Schisandra chinensis,五味子,7
amnésies,Dimocarpus longan,龙眼肉,4
amnésies,Polygala tenuifolia,远志,4
amnésies,Poria cocos,茯苓,4
amnésies,Ziziphus jujuba,酸枣仁,4
amnésies,Aucklandia lappa,木香,2
aménorrhées,Angelica sinensis,当归,17
aménorrhées,Paeonia lactiflora,白芍,11
aménorrhées,Cinnamomum cassia,肉桂,10
aménorrhées,Lycium chinensis,枸杞子,10
aménorrhées,Morus alba,桑葚,10
aménorrhées,Rehmannia glutinosa,地黄,10
aménorrhées,Carthamus tinctorius,红花,7
aménorrhées,Paeonia suffruticosa,牡丹皮,7
aménorrhées,Ligusticum wallichii,川芎,4
aménorrhées,Ophiopogon japonicus,麦冬,4
aménorrhées,Panax ginseng,人参,4
aménorrhées,Scutellaria baicalensis,黄芩,4
aménorrhées,Glycyrrhiza uralensis,甘草,2
aménorrhées,Laminaria japonica,昆布,2
angine de poitrine,Panax notoginseng,三七,10
angine de poitrine,Salvia miltiorrhiza,丹参,7
angine de poitrine,Paeonia lactiflora,白芍,4
angoisses,Forsythia suspensa,连翘,10
angoisses,Schisandra chinensis,五味子,7
ankylose du cou et des épaules,Eucommia ulmoides,杜仲,10
ankylose du cou et des épaules,Achyranthes bidentata,牛膝,7
ankylose du cou et des épaules,Atractylodes macrocephala,白术,7
ankylose du cou et des épaules,Angelica sinensis,当归,4
ankylose du cou et des épaules,Cinnamomum cassia,肉桂,4
ankylose du cou et des épaules,Ligusticum wallichii,川芎,4
ankylose du cou et des épaules,Paeonia lactiflora,白芍,4
ankylose du cou et des épaules,Panax ginseng,人参,4
ankylose du cou et des épaules,Poria cocos,茯苓,4
ankylose du cou et des épaules,Glycyrrhiza uralensis,甘草,2
anomalies spermatiques,Cordyceps sinensis,冬虫夏草,10
antioxydants,Astragalus membranaceus,黄芪,10
anémie,Angelica sinensis,当归,37
anémie,Panax ginseng,人参,20
anémie,Atractylodes macrocephala,白术,14
anémie,Paeonia lactiflora,白芍,11
anémie,Poria cocos,茯苓,11
anémie,Astragalus membranaceus,黄芪,10
anémie,Glycyrrhiza uralensis,甘草,9
anémie,Ligusticum wallichii,川芎,8
anémie,Dimocarpus longan,龙眼肉,4
anémie,Polygala tenuifolia,远志,4
anémie,Ziziphus jujuba,酸枣仁,4
anémie,Aucklandia lappa,木香,2
apathie,Astragalus membranaceus,黄芪,20
apathie,Panax ginseng,人参,17
apathie,Atractylodes macrocephala,白术,14
apathie,Glycyrrhiza uralensis,甘草,9
apathie,Angelica sinensis,当归,4
apathie,Coptis chinensis,黄连,4
apathie,Poria cocos,茯苓,4
apathie,Bupleurum chinense,柴胡,2
apathie,Zingiber officinale,生姜,2
aphasie,Panax notoginseng,三七,10
aphasie,Salvia miltiorrhiza,丹参,7
aphasie,Paeonia lactiflora,白芍,4
application de chaleur fait du bien,Atractylodes macrocephala,白术,14
application de chaleur fait du bien,Panax ginseng,人参,14
application de chaleur fait du bien,Angelica sinensis,当归,11
application de chaleur fait du bien,Astragalus membranaceus,黄芪,10
application de chaleur fait du bien,Eucommia ulmoides,杜仲,10
application de chaleur fait du bien,Glycyrrhiza uralensis,甘草,9
application de chaleur fait du bien,Poria cocos,茯苓,8
application de chaleur fait du bien,Achyranthes bidentata,牛膝,7
application de chaleur fait du bien,Cinnamomum cassia,肉桂,4
application de chaleur fait du bien,Dimocarpus longan,龙眼肉,4
application de chaleur fait du bien,Ligusticum wallichii,川芎,4
application de chaleur fait du bien,Paeonia lactiflora,白芍,4
application de chaleur fait du bien,Polygala tenuifolia,远志,4
application de chaleur fait du bien,Ziziphus jujuba,酸枣仁,4
application de chaleur fait du bien,Aucklandia lappa,木香,2
arthrite,Atractylodes macrocephala,白术,14
arthrite,Eucommia ulmoides,杜仲,10
arthrite,Paeonia suffruticosa,牡丹皮,10
arthrite,Achyranthes bidentata,牛膝,9
arthrite,Angelica sinensis,当归,4
arthrite,Cinnamomum cassia,肉桂,4
arthrite,Coix lacryma-jobi,薏苡仁,4
arthrite,Ligusticum wallichii,川芎,4
arthrite,Paeonia lactiflora,白芍,4
arthrite,Panax ginseng,人参,4
arthrite,Poria cocos,茯苓,4
arthrite,Glycyrrhiza uralensis,甘草,2
arthrite rhumatoïde chronique,Atractylodes macrocephala,白术,14
arthrite rhumatoïde chronique,Eucommia ulmoides,杜仲,10
arthrite rhumatoïde chronique,Paeonia suffruticosa,牡丹皮,10
arthrite rhumatoïde chronique,Achyranthes bidentata,牛膝,9
arthrite rhumatoïde chronique,Angelica sinensis,当归,4
arthrite rhumatoïde chronique,Cinnamomum cassia,肉桂,4
arthrite rhumatoïde chronique,Coix lacryma-jobi,薏苡仁,4
arthrite rhumatoïde chronique,Ligusticum wallichii,川芎,4
arthrite rhumatoïde chronique,Paeonia lactiflora,白芍,4
arthrite rhumatoïde chronique,Panax ginseng,人参,4
arthrite rhumatoïde chronique,Poria cocos,茯苓,4
